*common_name	*InChI	*InChIKey	IUPAC_PIN	(IUPAC PIN note)	"(ISOMERIC SMILES(NCI/CADD, with revisions))"	alternative	Bruker_ID (from TopSpin4.5.0\conf\instr\topshim\solvents)	ChEBI_name	ChEBI_ID	PubChem_name	PubChem_CID	(PubChem Link)
"N,N-dimethylformamide-d7"	"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3/i1D3,2D3,3D"	ZMXDDKWLCZADIW-YYWVXINBSA-N	"N,N-di(2H3)methyl(2H)formamide"	Gerry Moss (see Note)	C(N(C([2H])([2H])[2H])C(=O)[2H])([2H])([2H])[2H]	C3H7NO		"N,N-dimethylformamide-d7"	CHEBI:193040	"N,N-dimethylformamide-d7"	78225	https://pubchem.ncbi.nlm.nih.gov/compound/78225
2-propanol-d8	"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3/i1D3,2D3,3D,4D"	KFZMGEQAYNKOFK-PIODKIDGSA-N	"(2H7,O-2H)propan-2-ol"	unsure	[2H]C([2H])([2H])C([2H])(C([2H])([2H])[2H])O[2H]	C3D8O				"(O,1,1,1,2,3,3,3-2H8)propan-2-ol"	2723972	https://pubchem.ncbi.nlm.nih.gov/compound/2723972
isopropanol-d8	"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3/i1D3,2D3,3D,4D"	KFZMGEQAYNKOFK-PIODKIDGSA-N	"(2H7,O-2H)propan-2-ol"		[2H]C([2H])([2H])C([2H])(C([2H])([2H])[2H])O[2H]	C3D8O				"(O,1,1,1,2,3,3,3-2H8)Propan-2-ol"	2723972	https://pubchem.ncbi.nlm.nih.gov/compound/2723972
diethyl ether-d10	"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3/i1D3,2D3,3D2,4D2"	RTZKZFJDLAIYFH-MWUKXHIBSA-N	"2,2'-oxybis((2H5)ethane)"		[2H]C([2H])([2H])C([2H])([2H])OC([2H])([2H])C([2H])([2H])[2H]	C4D10O				"2,2'-oxybis((2H5)ethane)"	2723765	https://pubchem.ncbi.nlm.nih.gov/compound/2723765
tetrahydrofuran-d8	"InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2/i1D2,2D2,3D2,4D2"	WYURNTSHIVDZCO-SVYQBANQSA-N	(2H8)oxolane	see P-31.2.3.2	C1(C(C(OC1([2H])[2H])([2H])[2H])([2H])[2H])([2H])[2H]	C4D8O	THF	oxolane-d8	CHEBI:193047	tetrahydrofuran-d8	80290	https://pubchem.ncbi.nlm.nih.gov/compound/80290
tetrahydrofuran-d8	"InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2/i1D2,2D2,3D2,4D2"	WYURNTSHIVDZCO-SVYQBANQSA-N	(2H8)tetrahydrofuran		[2H]C1(C(C(OC1([2H])[2H])([2H])[2H])([2H])[2H])[2H]	C4D8O		oxolane-d8	CHEBI:193047	Tetrahydrofuran-D8	80290	https://pubchem.ncbi.nlm.nih.gov/compound/80290
"1,4-dioxane-d8"	"InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2/i1D2,2D2,3D2,4D2"	RYHBNJHYFVUHQT-SVYQBANQSA-N	"(2H8)1,4-dioxane"	certain	C1(C(OC(C(O1)([2H])[2H])([2H])[2H])([2H])[2H])([2H])[2H]	C4D8O2	Dioxane			"1,4-dioxane-d8"	87209	https://pubchem.ncbi.nlm.nih.gov/compound/87209
n-pentane-d12	"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3/i1D3,2D3,3D2,4D2,5D2"	OFBQJSOFQDEBGM-HYVJACIRSA-N	(2H12)pentane		[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])[2H]	C5D12				Pentane-d12	137286	https://pubchem.ncbi.nlm.nih.gov/compound/137286
pyridine-d5	"InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H/i1D,2D,3D,4D,5D"	JUJWROOIHBZHMG-RALIUCGRSA-N	(2H5)pyridine	certain	C1(=C(C(=NC(=C1[2H])[2H])[2H])[2H])[2H]	C5D5N	Pyr	pyridine-d5	CHEBI:193046	pyridine-d5	558519	https://pubchem.ncbi.nlm.nih.gov/compound/558519
N-methyl-2-pyrrolidinone-d9	"InChI=1S/C5H9NO/c1-6-4-2-3-5(6)7/h2-4H2,1H3/i1D3,2D2,3D2,4D2"	SECXISVLQFMRJM-YNSOAAEFSA-N	N-(2H3)Methyl-2-(2H6)pyrrolidinone		[2H]C1(C(=O)N(C(C1([2H])[2H])([2H])[2H])C([2H])([2H])[2H])[2H]	C5D9NO				N-Methyl-d3-2-pyrrolidinone-d6	16217555	https://pubchem.ncbi.nlm.nih.gov/compound/16217555
cyclohexane-d12	"InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2/i1D2,2D2,3D2,4D2,5D2,6D2"	XDTMQSROBMDMFD-LBTWDOQPSA-N	(2H12)cyclohexane	certain	C1(C(C(C(C(C1([2H])[2H])([2H])[2H])([2H])[2H])([2H])[2H])([2H])[2H])([2H])[2H]	C6D12				cyclohexane-d12	123129	https://pubchem.ncbi.nlm.nih.gov/compound/123129
n-hexane-d14	"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3/i1D3,2D3,3D2,4D2,5D2,6D2"	VLKZOEOYAKHREP-ZLKPZJALSA-N	(2H14)hexane		[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])[2H]	C6D14				hexane-d14	140854	https://pubchem.ncbi.nlm.nih.gov/compound/140854
diglyme-d14	"InChI=1S/C6H14O3/c1-7-3-5-9-6-4-8-2/h3-6H2,1-2H3/i1D3,2D3,3D2,4D2,5D2,6D2"	SBZXBUIDTXKZTM-ZLKPZJALSA-N	"1-(2H3)methoxy-2-[2-(2H3)methoxy(1,1,2,2-2H4)ethoxy](2H4)ethane"		[2H]C([2H])([2H])OC([2H])([2H])C([2H])([2H])OC([2H])([2H])C([2H])([2H])OC([2H])([2H])[2H]	C6D14O3				diglyme-d14	90471891	https://pubchem.ncbi.nlm.nih.gov/compound/90471891
"1,2-dichlorobenzene-d4"	"InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H/i1D,2D,3D,4D"	RFFLAFLAYFXFSW-RHQRLBAQSA-N	"(2H4)1,2-dichlorobenzene"		[2H]C1=C(C(=C(C(=C1[2H])Cl)Cl)[2H])[2H]	C6D4Cl2				"1,2-dichlorobenzene-D4"	519913	https://pubchem.ncbi.nlm.nih.gov/compound/519913
bromobenzene-d5	"InChI=1S/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H/i1D,2D,3D,4D,5D"	QARVLSVVCXYDNA-RALIUCGRSA-N	(2H5)bromobenzene		[2H]C1=C(C(=C(C(=C1[2H])[2H])Br)[2H])[2H]	C6D5Br				Bromobenzene-d5	2723968	https://pubchem.ncbi.nlm.nih.gov/compound/2723968
chlorobenzene-d5	"InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H/i1D,2D,3D,4D,5D"	MVPPADPHJFYWMZ-RALIUCGRSA-N	(2H5)chlorobenzene		[2H]C1=C(C(=C(C(=C1[2H])[2H])Cl)[2H])[2H]	C6D5Cl				Chlorobenzene-d5	575975	https://pubchem.ncbi.nlm.nih.gov/compound/575975
fluorobenzene-d5	"InChI=1S/C6H5F/c7-6-4-2-1-3-5-6/h1-5H/i1D,2D,3D,4D,5D"	PYLWMHQQBFSUBP-RALIUCGRSA-N	(2H5)fluorobenzene		[2H]C1=C(C(=C(C(=C1[2H])[2H])F)[2H])[2H]	C6D5F				fluoro(2H5)benzene	80279	https://pubchem.ncbi.nlm.nih.gov/compound/80279
nitrobenzene-d5	"InChI=1S/C6H5NO2/c8-7(9)6-4-2-1-3-5-6/h1-5H/i1D,2D,3D,4D,5D"	LQNUZADURLCDLV-RALIUCGRSA-N	(2H5)nitrobenzene		[2H]C1=C(C(=C(C(=C1[2H])[2H])[N+](=O)[O-])[2H])[2H]	C6H5NO2				Nitrobenzene-d5	123210	https://pubchem.ncbi.nlm.nih.gov/compound/123210
benzene-d6	"InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H/i1D,2D,3D,4D,5D,6D"	UHOVQNZJYSORNB-MZWXYZOWSA-N	(2H6)benzene	Gerry Moss (see Note)	C1(=C(C(=C(C(=C1[2H])[2H])[2H])[2H])[2H])[2H]	C6D6	C6D6	benzene-d6	CHEBI:193039	benzene-d6	71601	https://pubchem.ncbi.nlm.nih.gov/compound/71601
methylcyclohexane-d14	"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3/i1D3,2D2,3D2,4D2,5D2,6D2,7D"	UAEPNZWRGJTJPN-OBYKGMMLSA-N	(2H14)methylcyclohexane		[2H]C1(C(C(C(C(C1([2H])[2H])([2H])[2H])([2H])C([2H])([2H])[2H])([2H])[2H])([2H])[2H])[2H]	C7D14				Methylcyclohexane-d14	524602	https://pubchem.ncbi.nlm.nih.gov/compound/524602
n-heptane-d16	"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3/i1D3,2D3,3D2,4D2,5D2,6D2,7D2"	IMNFDUFMRHMDMM-NEBSKJCTSA-N	(2H16)heptane		[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])[2H]	C7D16				heptane-d16	524600	https://pubchem.ncbi.nlm.nih.gov/compound/524600
toluene-d8	"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3/i1D3,2D,3D,4D,5D,6D"	YXFVVABEGXRONW-JGUCLWPXSA-N	(2H3)methyl(2H5)benzene	unsure	C(C1=C(C(=C(C(=C1[2H])[2H])[2H])[2H])[2H])([2H])[2H].[2H]	C7D8	Tol	toluene-d8	CHEBI:193048	toluene-d8	74861	https://pubchem.ncbi.nlm.nih.gov/compound/74861
p-xylene-d10	"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3/i1D3,2D3,3D,4D,5D,6D"	URLKBWYHVLBVBO-ZGYYUIRESA-N	(2H10)p-xylene		[2H]C1=C(C(=C(C(=C1C([2H])([2H])[2H])[2H])[2H])C([2H])([2H])[2H])[2H]	p-C8D10				(2H10)-p-Xylene	566957	https://pubchem.ncbi.nlm.nih.gov/compound/566957
o-xylene-d10	"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3/i1D3,2D3,3D,4D,5D,6D"	CTQNGGLPUBDAKN-ZGYYUIRESA-N	(2H10)o-xylene		[2H]C1=C(C(=C(C(=C1[2H])C([2H])([2H])[2H])C([2H])([2H])[2H])[2H])[2H]	o-C8D10				(2H10)-o-Xylene	91976	https://pubchem.ncbi.nlm.nih.gov/compound/91976
n-octane-d18	"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3/i1D3,2D3,3D2,4D2,5D2,6D2,7D2,8D2"	TVMXDCGIABBOFY-VAZJTQEUSA-N	(2H18)octane		[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])[2H]	C8D18				(2H18)Octane	519375	https://pubchem.ncbi.nlm.nih.gov/compound/519375
"1,3,5-trimethyl benzene-d12"	"InChI=1S/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3/i1D3,2D3,3D3,4D,5D,6D"	AUHZEENZYGFFBQ-ZPMNDIOMSA-N	"(2H12)1,3,5-trimethylbenzene"		[2H]C1=C(C(=C(C(=C1C([2H])([2H])[2H])[2H])C([2H])([2H])[2H])[2H])C([2H])([2H])[2H]	C9D12				Mesitylene-d12	2733421	https://pubchem.ncbi.nlm.nih.gov/compound/2733421
methylene chloride-d2	InChI=1S/CH2Cl2/c2-1-3/h1H2/i1D2	YMWUJEATGCHHMB-DICFDUPASA-N	dichloro(2H2)methane	explicit PIN in P-82.2.1	ClC(Cl)([2H])[2H]	CD2Cl2	CD2Cl2	dichloromethane-d2	CHEBI:193042	dichloromethane-d2	160586	https://pubchem.ncbi.nlm.nih.gov/compound/160586
nitromethane-d3	InChI=1S/CH3NO2/c1-2(3)4/h1H3/i1D3	LYGJENNIWJXYER-FIBGUPNXSA-N	(2H3)nitromethane		[2H]C([2H])([2H])[N+](=O)[O-]	CD3NO2		nitromethane-d3	CHEBI:193045	Nitro(2H3)methane	123293	https://pubchem.ncbi.nlm.nih.gov/compound/123293
methanol-d4	"InChI=1S/CH4O/c1-2/h2H,1H3/i1D3,2D"	OKKJLVBELUTLKV-MZCSYVLQSA-N	"(2H3,O-2H)methanol"	unsure	C(O)1([2H])([2H])[2H].1[2H]	CD3OD	MeOD	methanol-d4	CHEBI:156265	methanol-d4	71568	https://pubchem.ncbi.nlm.nih.gov/compound/71568
chloroform-d	InChI=1S/CHCl3/c2-1(3)4/h1H/i1D	HEDRZPFGACZZDS-MICDWDOJSA-N	trichloro(2H)methane	certain	ClC(Cl)(Cl)[2H]	CDCl3	CDCl3	deuterated chloroform	CHEBI:85365	chloroform-d	71583	https://pubchem.ncbi.nlm.nih.gov/compound/71583
deuterium chloride	InChI=1S/ClH/h1H/i/hD	VEXZGXHMUGYJMC-DYCDLGHISA-N	(2H)chlorane		[2H]Cl	DCl				Deuterium chloride	522634	https://pubchem.ncbi.nlm.nih.gov/compound/522634
deuterium oxide	InChI=1S/H2O/h1H2/i/hD2	XLYOFNOQVPJJNP-ZSJDYOACSA-N	(2H2)water	Gerry Moss (see Note)	O([2H])[2H]	D2O		dideuterium oxide	CHEBI:41981	deuterium oxide	24602	https://pubchem.ncbi.nlm.nih.gov/compound/24602
methanol	"InChI=1S/CH4O/c1-2/h2H,1H3"	OKKJLVBELUTLKV-UHFFFAOYSA-N			CO	CH3OH	CH3OH					
water	InChI=1S/H2O/h1H2	XLYOFNOQVPJJNP-UHFFFAOYSA-N			O	H2O	H2O					
"1,2-diethoxyethane-d14"	"InChI=1S/C6H14O2/c1-3-7-5-6-8-4-2/h3-6H2,1-2H3/i1D3,2D3,3D2,4D2,5D2,6D2"	LZDKZFUFMNSQCJ-ZLKPZJALSA-N			C([2H])([2H])([2H])C([2H])([2H])OC([2H])([2H])C([2H])([2H])OC([2H])([2H])C([2H])([2H])[2H]	CH3CH2OCH2CH2OCH2CH3	DEE					
"1,2-dimethoxyethane-d10"	"InChI=1S/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3/i1D3,2D3,3D2,4D2"	XTHFKEDIFFGKHM-MWUKXHIBSA-N			C([2H])([2H])([2H])OC([2H])([2H])C([2H])([2H])OC([2H])([2H])[2H]	CH3OCH2CH2OCH3	DME					
dimethyl sulfoxide	InChI=1S/C2H6OS/c1-4(2)3/h1-2H3	IAZDPXIOMUYVGZ-UHFFFAOYSA-N			C[S](=O)C	CH3S(O)CH3	DMSO-H6					
hexamethyldisiloxane-d18	"InChI=1S/C6H18OSi2/c1-8(2,3)7-9(4,5)6/h1-6H3/i1D3,2D3,3D3,4D3,5D3,6D3"	UQEAIHBTYFGYIE-NBDUPMGQSA-N			C([2H])([2H])([2H])[Si](C([2H])([2H])([2H]))(C([2H])([2H])([2H]))O[Si](C([2H])([2H])([2H]))(C([2H])([2H])([2H]))C([2H])([2H])([2H])	(CD3)3SiOSi(CD3)3	HMDSO					
"1,2-dichlorobenzene-d4"	"InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H/i1D,2D,3D,4D"	RFFLAFLAYFXFSW-RHQRLBAQSA-N			ClC1=C([2H])C([2H])=C([2H])C([2H])=C1Cl	o-C6D4Cl2	oC6D4Cl2					
"1,4-dibromobenzene-d4"	"InChI=1S/C6H4Br2/c7-5-1-2-6(8)4-3-5/h1-4H/i1D,2D,3D,4D"	SWJPEBQEEAHIGZ-RHQRLBAQSA-N			BrC1=C([2H])C([2H])=C(Br)C([2H])=C1[2H]	p-C6D4Br2	pC6D4Br2					
tetrahydrofuran	InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2	WYURNTSHIVDZCO-UHFFFAOYSA-N			O1CCCC1	C4H4O	THF-H8					
toluene	"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3"	YXFVVABEGXRONW-UHFFFAOYSA-N			C1(C)=CC=CC=C1	C6H5CH3	Tol-H8					
