10.14469/hpc/10386>	[IFDReference 1 >as>null doi:https://doi.org/10.14469/hpc/10386]	Syntheses and Characterization of Main Group, Transition Metal, Lanthanide and Actinide Complexes of Bidentate Acylpyrazolone Ligands
10.14469/hpc/10386>C>11349>	[IFDReference 2 >as>null doi:https://doi.org/10.14469/hpc/11349]
10.14469/hpc/10386>C>11349>C>11442>C>11447>D>R	[IFDReference 31 >as>Bis(ethanol) bis(4-benzoyl-1-(4-methoxybenzyl)-1H-pyrazol-5-olate)calcium (21).cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11447&file=5]
10.14469/hpc/10386>C>11349>C>11442>C>11447>D>R	[IFDReference 32 >as>21-hsqc.jdx url:https://data.hpc.imperial.ac.uk/resolve/?doi=11447&file=4]
10.14469/hpc/10386>C>11349>C>11442>C>11447>D>R	[IFDReference 33 >as>21-hsqc.pdf url:https://data.hpc.imperial.ac.uk/resolve/?doi=11447&file=3]
10.14469/hpc/10386>C>11349>C>11442>C>11447>D>R	[IFDReference 34 >as>21-hsqc.mnova url:https://data.hpc.imperial.ac.uk/resolve/?doi=11447&file=2]
10.14469/hpc/10386>C>11349>C>11442>C>11447>D>R	[IFDReference 35 >as>21-hsqc.zip url:https://data.hpc.imperial.ac.uk/resolve/?doi=11447&file=1]
10.14469/hpc/10386>C>11349>C>11442>C>11445>	[IFDReference 36 >as>null doi:https://doi.org/10.14469/hpc/11445]	NMR Data for Bis(ethanol) bis(4-benzoyl-1-(4-methoxybenzyl)-1H-pyrazol-5-olate)calcium (21) 1H-13C HMBC
10.14469/hpc/10386>C>11349>C>11442>C>11445>D>R	[IFDReference 37 >as>21.mol url:https://data.hpc.imperial.ac.uk/resolve/?doi=11445&file=9]
10.14469/hpc/10386>C>11349>C>11442>C>11445>D>R	[IFDReference 38 >as>21.png url:https://data.hpc.imperial.ac.uk/resolve/?doi=11445&file=8]
10.14469/hpc/10386>C>11349>C>11442>C>11445>D>R	[IFDReference 39 >as>21.cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11445&file=7]
10.14469/hpc/10386>C>11349>C>11442>C>11445>D>R	[IFDReference 40 >as>Bis(ethanol) bis(4-benzoyl-1-(4-methoxybenzyl)-1H-pyrazol-5-olate)calcium (21).cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11445&file=5]
10.14469/hpc/10386>C>11349>C>11442>C>11445>D>R	[IFDReference 41 >as>21-hmbc.pdf url:https://data.hpc.imperial.ac.uk/resolve/?doi=11445&file=4]
10.14469/hpc/10386>C>11349>C>11442>C>11445>D>R	[IFDReference 42 >as>21-hmbc.jdx url:https://data.hpc.imperial.ac.uk/resolve/?doi=11445&file=3]
10.14469/hpc/10386>C>11349>C>11442>C>11445>D>R	[IFDReference 43 >as>21-hmbc.mnova url:https://data.hpc.imperial.ac.uk/resolve/?doi=11445&file=2]
10.14469/hpc/10386>C>11349>C>11442>C>11445>D>R	[IFDReference 44 >as>21-hmbc.zip url:https://data.hpc.imperial.ac.uk/resolve/?doi=11445&file=1]
10.14469/hpc/10386>C>11349>C>11442>C>11443>	[IFDReference 45 >as>null doi:https://doi.org/10.14469/hpc/11443]	NMR Data for Bis(ethanol) bis(4-benzoyl-1-(4-methoxybenzyl)-1H-pyrazol-5-olate)calcium, 21, 13C
10.14469/hpc/10386>C>11349>C>11442>C>11443>D>R	[IFDReference 46 >as>21.mol url:https://data.hpc.imperial.ac.uk/resolve/?doi=11443&file=9]
10.14469/hpc/10386>C>11349>C>11442>C>11443>D>R	[IFDReference 47 >as>21.png url:https://data.hpc.imperial.ac.uk/resolve/?doi=11443&file=8]
10.14469/hpc/10386>C>11349>C>11442>C>11443>D>R	[IFDReference 48 >as>21.cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11443&file=7]
10.14469/hpc/10386>C>11349>C>11442>C>11443>D>R	[IFDReference 49 >as>21-13C.zip url:https://data.hpc.imperial.ac.uk/resolve/?doi=11443&file=5]
10.14469/hpc/10386>C>11349>C>11442>C>11443>D>R	[IFDReference 50 >as>Bis(ethanol) bis(4-benzoyl-1-(4-methoxybenzyl)-1H-pyrazol-5-olate)calcium (21).cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11443&file=4]
10.14469/hpc/10386>C>11349>C>11442>C>11443>D>R	[IFDReference 51 >as>21-13C.pdf url:https://data.hpc.imperial.ac.uk/resolve/?doi=11443&file=3]
10.14469/hpc/10386>C>11349>C>11442>C>11443>D>R	[IFDReference 52 >as>21-13C.jdx url:https://data.hpc.imperial.ac.uk/resolve/?doi=11443&file=2]
10.14469/hpc/10386>C>11349>C>11442>C>11443>D>R	[IFDReference 53 >as>21-13C.mnova url:https://data.hpc.imperial.ac.uk/resolve/?doi=11443&file=1]
10.14469/hpc/10386>C>11349>C>11442>C>11444>	[IFDReference 54 >as>null doi:https://doi.org/10.14469/hpc/11444]	NMR Data for Bis(ethanol) bis(4-benzoyl-1-(4-methoxybenzyl)-1H-pyrazol-5-olate)calcium (21), 1H
10.14469/hpc/10386>C>11349>C>11442>C>11444>D>R	[IFDReference 55 >as>21.mol url:https://data.hpc.imperial.ac.uk/resolve/?doi=11444&file=9]
10.14469/hpc/10386>C>11349>C>11442>C>11444>D>R	[IFDReference 56 >as>21.png url:https://data.hpc.imperial.ac.uk/resolve/?doi=11444&file=8]
10.14469/hpc/10386>C>11349>C>11442>C>11444>D>R	[IFDReference 57 >as>21.cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11444&file=7]
10.14469/hpc/10386>C>11349>C>11442>C>11444>D>R	[IFDReference 58 >as>Bis(ethanol) bis(4-benzoyl-1-(4-methoxybenzyl)-1H-pyrazol-5-olate)calcium (21).cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11444&file=5]
10.14469/hpc/10386>C>11349>C>11442>C>11444>D>R	[IFDReference 59 >as>21-1H.jdx url:https://data.hpc.imperial.ac.uk/resolve/?doi=11444&file=4]
10.14469/hpc/10386>C>11349>C>11442>C>11444>D>R	[IFDReference 60 >as>21-1H.pdf url:https://data.hpc.imperial.ac.uk/resolve/?doi=11444&file=3]
10.14469/hpc/10386>C>11349>C>11442>C>11444>D>R	[IFDReference 61 >as>21-1H.mnova url:https://data.hpc.imperial.ac.uk/resolve/?doi=11444&file=2]
10.14469/hpc/10386>C>11349>C>11442>C>11444>D>R	[IFDReference 62 >as>21-1H.zip url:https://data.hpc.imperial.ac.uk/resolve/?doi=11444&file=1]
10.14469/hpc/10386>C>11405>	[IFDReference 63 >as>null doi:https://doi.org/10.14469/hpc/11405]
10.14469/hpc/10386>C>11405>C>11507>	[IFDReference 64 >as>null doi:https://doi.org/10.14469/hpc/11507]
10.14469/hpc/10386>C>11405>C>11507>D>R	[IFDReference 65 >as>60.png url:https://data.hpc.imperial.ac.uk/resolve/?doi=11507&file=5]
10.14469/hpc/10386>C>11405>C>11507>D>R	[IFDReference 66 >as>60.mol url:https://data.hpc.imperial.ac.uk/resolve/?doi=11507&file=4]
10.14469/hpc/10386>C>11405>C>11507>D>R	[IFDReference 67 >as>60.cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11507&file=3]
10.14469/hpc/10386>C>11405>C>11507>D>R	[IFDReference 68 >as>TM-VI-205_2021-12-20T14-07-11.pdf url:https://data.hpc.imperial.ac.uk/resolve/?doi=11507&file=2]
10.14469/hpc/10386>C>11405>C>11428>	[IFDReference 69 >as>null doi:https://doi.org/10.14469/hpc/11428]
10.14469/hpc/10386>C>11405>C>11428>D>R	[IFDReference 70 >as>60.png url:https://data.hpc.imperial.ac.uk/resolve/?doi=11428&file=5]
10.14469/hpc/10386>C>11405>C>11428>D>R	[IFDReference 71 >as>60.cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11428&file=4]
10.14469/hpc/10386>C>11405>C>11428>D>R	[IFDReference 72 >as>AB2241.tar.gz url:https://data.hpc.imperial.ac.uk/resolve/?doi=11428&file=3]
10.14469/hpc/10386>C>11405>C>11428>D>R	[IFDReference 73 >as>AB2241.7z url:https://data.hpc.imperial.ac.uk/resolve/?doi=11428&file=2]
10.14469/hpc/10386>C>11405>C>11428>D>R	[IFDReference 74 >as>AB2241.cif url:https://data.hpc.imperial.ac.uk/resolve/?doi=11428&file=1]
10.14469/hpc/10386>C>11405>C>11428>D>ccdc.csd.cc2d6qr3>	[IFDReference 75 >as>null doi:https://doi.org/10.5517/ccdc.csd.cc2d6qr3]	CCDC 2211005: Experimental Crystal Structure Determination
10.14469/hpc/10386>C>11714>	[IFDReference 76 >as>null doi:https://doi.org/10.14469/hpc/11714]
10.14469/hpc/10386>C>11714>C>R	[IFDReference 77 >as>26.mol url:https://data.hpc.imperial.ac.uk/resolve/?doi=11714&file=4]
10.14469/hpc/10386>C>11714>C>R	[IFDReference 78 >as>26.cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11714&file=3]
10.14469/hpc/10386>C>11714>C>R	[IFDReference 79 >as>26.png url:https://data.hpc.imperial.ac.uk/resolve/?doi=11714&file=2]
10.14469/hpc/10386>C>11406>	[IFDReference 80 >as>null doi:https://doi.org/10.14469/hpc/11406]
10.14469/hpc/10386>C>11406>C>11535>	[IFDReference 81 >as>null doi:https://doi.org/10.14469/hpc/11535]
10.14469/hpc/10386>C>11406>C>11535>C>11539>	[IFDReference 82 >as>null doi:https://doi.org/10.14469/hpc/11539]	NMR Data for Sodium(I) tetrakis((4-(ethoxycarbonyl)-1-(4-methoxybenzyl)-1H-pyrazol-5-yl)oxy)lanthanum (61), 1H, COSY
10.14469/hpc/10386>C>11406>C>11535>C>11539>D>R	[IFDReference 83 >as>61.cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11539&file=8]
10.14469/hpc/10386>C>11406>C>11535>C>11539>D>R	[IFDReference 84 >as>61.mol url:https://data.hpc.imperial.ac.uk/resolve/?doi=11539&file=7]
10.14469/hpc/10386>C>11406>C>11535>C>11539>D>R	[IFDReference 85 >as>61.png url:https://data.hpc.imperial.ac.uk/resolve/?doi=11539&file=5]
10.14469/hpc/10386>C>11406>C>11535>C>11539>D>R	[IFDReference 86 >as>61-cosy.pdf url:https://data.hpc.imperial.ac.uk/resolve/?doi=11539&file=4]
10.14469/hpc/10386>C>11406>C>11535>C>11539>D>R	[IFDReference 87 >as>61-cosy.jdx url:https://data.hpc.imperial.ac.uk/resolve/?doi=11539&file=3]
10.14469/hpc/10386>C>11406>C>11535>C>11539>D>R	[IFDReference 88 >as>61-cosy.mnova url:https://data.hpc.imperial.ac.uk/resolve/?doi=11539&file=2]
10.14469/hpc/10386>C>11406>C>11535>C>11539>D>R	[IFDReference 89 >as>61-cosy.zip url:https://data.hpc.imperial.ac.uk/resolve/?doi=11539&file=1]
10.14469/hpc/10386>C>11406>C>11535>C>11541>	[IFDReference 90 >as>null doi:https://doi.org/10.14469/hpc/11541]	NMR Data for Sodium(I) tetrakis((4-(ethoxycarbonyl)-1-(4-methoxybenzyl)-1H-pyrazol-5-yl)oxy)lanthanum (61), 1H, 13C, HMBC
10.14469/hpc/10386>C>11406>C>11535>C>11541>D>R	[IFDReference 91 >as>61.cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11541&file=8]
10.14469/hpc/10386>C>11406>C>11535>C>11541>D>R	[IFDReference 92 >as>61.mol url:https://data.hpc.imperial.ac.uk/resolve/?doi=11541&file=7]
10.14469/hpc/10386>C>11406>C>11535>C>11541>D>R	[IFDReference 93 >as>61.png url:https://data.hpc.imperial.ac.uk/resolve/?doi=11541&file=5]
10.14469/hpc/10386>C>11406>C>11535>C>11541>D>R	[IFDReference 94 >as>61-hmbc.pdf url:https://data.hpc.imperial.ac.uk/resolve/?doi=11541&file=4]
10.14469/hpc/10386>C>11406>C>11535>C>11541>D>R	[IFDReference 95 >as>61.jdx url:https://data.hpc.imperial.ac.uk/resolve/?doi=11541&file=3]
10.14469/hpc/10386>C>11406>C>11535>C>11541>D>R	[IFDReference 96 >as>61-hmbc.mnova url:https://data.hpc.imperial.ac.uk/resolve/?doi=11541&file=2]
10.14469/hpc/10386>C>11406>C>11535>C>11541>D>R	[IFDReference 97 >as>61-hmbc.zip url:https://data.hpc.imperial.ac.uk/resolve/?doi=11541&file=1]
10.14469/hpc/10386>C>11406>C>11535>C>11540>	[IFDReference 98 >as>null doi:https://doi.org/10.14469/hpc/11540]	NMR Data for Sodium(I) tetrakis((4-(ethoxycarbonyl)-1-(4-methoxybenzyl)-1H-pyrazol-5-yl)oxy)lanthanum (61), 1H, 13C, HMQC
10.14469/hpc/10386>C>11406>C>11535>C>11540>D>R	[IFDReference 99 >as>61.mol url:https://data.hpc.imperial.ac.uk/resolve/?doi=11540&file=7]
10.14469/hpc/10386>C>11406>C>11535>C>11540>D>R	[IFDReference 100 >as>61.cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11540&file=6]
10.14469/hpc/10386>C>11406>C>11535>C>11540>D>R	[IFDReference 101 >as>61.png url:https://data.hpc.imperial.ac.uk/resolve/?doi=11540&file=5]
10.14469/hpc/10386>C>11406>C>11535>C>11540>D>R	[IFDReference 102 >as>61-hmqc.pdf url:https://data.hpc.imperial.ac.uk/resolve/?doi=11540&file=4]
10.14469/hpc/10386>C>11406>C>11535>C>11540>D>R	[IFDReference 103 >as>61-hmqc.jdx url:https://data.hpc.imperial.ac.uk/resolve/?doi=11540&file=3]
10.14469/hpc/10386>C>11406>C>11535>C>11540>D>R	[IFDReference 104 >as>61-hmqc.mnova url:https://data.hpc.imperial.ac.uk/resolve/?doi=11540&file=2]
10.14469/hpc/10386>C>11406>C>11535>C>11540>D>R	[IFDReference 105 >as>61-hmqc.zip url:https://data.hpc.imperial.ac.uk/resolve/?doi=11540&file=1]
10.14469/hpc/10386>C>11406>C>11535>C>11538>	[IFDReference 106 >as>null doi:https://doi.org/10.14469/hpc/11538]	NMR Data for Sodium(I) tetrakis((4-(ethoxycarbonyl)-1-(4-methoxybenzyl)-1H-pyrazol-5-yl)oxy)lanthanum (61), 13C
10.14469/hpc/10386>C>11406>C>11535>C>11538>D>R	[IFDReference 107 >as>61.cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11538&file=8]
10.14469/hpc/10386>C>11406>C>11535>C>11538>D>R	[IFDReference 108 >as>61.mol url:https://data.hpc.imperial.ac.uk/resolve/?doi=11538&file=7]
10.14469/hpc/10386>C>11406>C>11535>C>11538>D>R	[IFDReference 109 >as>61.png url:https://data.hpc.imperial.ac.uk/resolve/?doi=11538&file=5]
10.14469/hpc/10386>C>11406>C>11535>C>11538>D>R	[IFDReference 110 >as>61-13C.pdf url:https://data.hpc.imperial.ac.uk/resolve/?doi=11538&file=4]
10.14469/hpc/10386>C>11406>C>11535>C>11538>D>R	[IFDReference 111 >as>61-13C.jdx url:https://data.hpc.imperial.ac.uk/resolve/?doi=11538&file=3]
10.14469/hpc/10386>C>11406>C>11535>C>11538>D>R	[IFDReference 112 >as>61-13C.mnova url:https://data.hpc.imperial.ac.uk/resolve/?doi=11538&file=2]
10.14469/hpc/10386>C>11406>C>11535>C>11538>D>R	[IFDReference 113 >as>61-13C.zip url:https://data.hpc.imperial.ac.uk/resolve/?doi=11538&file=1]
10.14469/hpc/10386>C>11406>C>11535>C>11537>	[IFDReference 114 >as>null doi:https://doi.org/10.14469/hpc/11537]	NMR Data for Sodium(I) tetrakis((4-(ethoxycarbonyl)-1-(4-methoxybenzyl)-1H-pyrazol-5-yl)oxy)lanthanum (61), 1H
10.14469/hpc/10386>C>11406>C>11535>C>11537>D>R	[IFDReference 115 >as>61.cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11537&file=8]
10.14469/hpc/10386>C>11406>C>11535>C>11537>D>R	[IFDReference 116 >as>61.mol url:https://data.hpc.imperial.ac.uk/resolve/?doi=11537&file=7]
10.14469/hpc/10386>C>11406>C>11535>C>11537>D>R	[IFDReference 117 >as>61.png url:https://data.hpc.imperial.ac.uk/resolve/?doi=11537&file=5]
10.14469/hpc/10386>C>11406>C>11535>C>11537>D>R	[IFDReference 118 >as>61-1H.pdf url:https://data.hpc.imperial.ac.uk/resolve/?doi=11537&file=4]
10.14469/hpc/10386>C>11406>C>11535>C>11537>D>R	[IFDReference 119 >as>61-1H.jdx url:https://data.hpc.imperial.ac.uk/resolve/?doi=11537&file=3]
10.14469/hpc/10386>C>11406>C>11535>C>11537>D>R	[IFDReference 120 >as>61-1H.mnova url:https://data.hpc.imperial.ac.uk/resolve/?doi=11537&file=2]
10.14469/hpc/10386>C>11406>C>11535>C>11537>D>R	[IFDReference 121 >as>61-1H.zip url:https://data.hpc.imperial.ac.uk/resolve/?doi=11537&file=1]
10.14469/hpc/10386>C>11406>C>11536>	[IFDReference 122 >as>null doi:https://doi.org/10.14469/hpc/11536]
10.14469/hpc/10386>C>11406>C>11536>D>R	[IFDReference 123 >as>61.cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11536&file=3]
10.14469/hpc/10386>C>11406>C>11536>D>R	[IFDReference 124 >as>61.png url:https://data.hpc.imperial.ac.uk/resolve/?doi=11536&file=2]
10.14469/hpc/10386>C>11406>C>11536>D>R	[IFDReference 125 >as>TM-VI-191_2021-12-05T18-21-45.pdf url:https://data.hpc.imperial.ac.uk/resolve/?doi=11536&file=1]
10.14469/hpc/10386>C>11406>C>11429>	[IFDReference 126 >as>null doi:https://doi.org/10.14469/hpc/11429]
10.14469/hpc/10386>C>11406>C>11429>D>R	[IFDReference 127 >as>61.png url:https://data.hpc.imperial.ac.uk/resolve/?doi=11429&file=5]
10.14469/hpc/10386>C>11406>C>11429>D>R	[IFDReference 128 >as>61.cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11429&file=4]
10.14469/hpc/10386>C>11406>C>11429>D>R	[IFDReference 129 >as>AB2223.tar.gz url:https://data.hpc.imperial.ac.uk/resolve/?doi=11429&file=3]
10.14469/hpc/10386>C>11406>C>11429>D>R	[IFDReference 130 >as>AB2223.7z url:https://data.hpc.imperial.ac.uk/resolve/?doi=11429&file=2]
10.14469/hpc/10386>C>11406>C>11429>D>R	[IFDReference 131 >as>AB2223.cif url:https://data.hpc.imperial.ac.uk/resolve/?doi=11429&file=1]
10.14469/hpc/10386>C>11406>C>11429>D>ccdc.csd.cc2d6qs4>	[IFDReference 132 >as>null doi:https://doi.org/10.5517/ccdc.csd.cc2d6qs4]	CCDC 2211006: Experimental Crystal Structure Determination
10.14469/hpc/10386>C>12307>	[IFDReference 133 >as>null doi:https://doi.org/10.14469/hpc/12307]
10.14469/hpc/10386>C>12307>C>12308>	[IFDReference 134 >as>null doi:https://doi.org/10.14469/hpc/12308]
10.14469/hpc/10386>C>12307>C>12308>D>R	[IFDReference 135 >as>LB-UO2L4.cif url:https://data.hpc.imperial.ac.uk/resolve/?doi=12308&file=6]
10.14469/hpc/10386>C>12307>C>12308>D>R	[IFDReference 136 >as>LB-UO2L4.zip.002 url:https://data.hpc.imperial.ac.uk/resolve/?doi=12308&file=4]
10.14469/hpc/10386>C>12307>C>12308>D>R	[IFDReference 137 >as>LB-UO2L4.zip.001 url:https://data.hpc.imperial.ac.uk/resolve/?doi=12308&file=3]
10.14469/hpc/10386>C>12307>C>12308>D>R	[IFDReference 138 >as>LB-UO2L4.7z.002 url:https://data.hpc.imperial.ac.uk/resolve/?doi=12308&file=2]
10.14469/hpc/10386>C>12307>C>12308>D>R	[IFDReference 139 >as>LB-UO2L4.7z.001 url:https://data.hpc.imperial.ac.uk/resolve/?doi=12308&file=1]
10.14469/hpc/10386>C>11732>	[IFDReference 140 >as>null doi:https://doi.org/10.14469/hpc/11732]
10.14469/hpc/10386>C>11732>C>R	[IFDReference 141 >as>51.png url:https://data.hpc.imperial.ac.uk/resolve/?doi=11732&file=6]
10.14469/hpc/10386>C>11732>C>R	[IFDReference 142 >as>51.mol url:https://data.hpc.imperial.ac.uk/resolve/?doi=11732&file=5]
10.14469/hpc/10386>C>11732>C>R	[IFDReference 143 >as>26.mol url:https://data.hpc.imperial.ac.uk/resolve/?doi=11732&file=4]
10.14469/hpc/10386>C>11732>C>R	[IFDReference 144 >as>26.png url:https://data.hpc.imperial.ac.uk/resolve/?doi=11732&file=3]
10.14469/hpc/10386>C>11732>C>R	[IFDReference 145 >as>51.cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11732&file=2]
10.14469/hpc/10386>C>11745>	[IFDReference 146 >as>null doi:https://doi.org/10.14469/hpc/11745]
10.14469/hpc/10386>C>11745>C>R	[IFDReference 147 >as>69.mol url:https://data.hpc.imperial.ac.uk/resolve/?doi=11745&file=3]
10.14469/hpc/10386>C>11745>C>R	[IFDReference 148 >as>69.png url:https://data.hpc.imperial.ac.uk/resolve/?doi=11745&file=2]
10.14469/hpc/10386>C>11745>C>R	[IFDReference 149 >as>69.cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11745&file=1]
10.14469/hpc/10386>C>11740>	[IFDReference 150 >as>null doi:https://doi.org/10.14469/hpc/11740]
10.14469/hpc/10386>C>11740>C>R	[IFDReference 151 >as>59.mol url:https://data.hpc.imperial.ac.uk/resolve/?doi=11740&file=3]
10.14469/hpc/10386>C>11740>C>R	[IFDReference 152 >as>59.png url:https://data.hpc.imperial.ac.uk/resolve/?doi=11740&file=2]
10.14469/hpc/10386>C>11740>C>R	[IFDReference 153 >as>59.cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11740&file=1]
10.14469/hpc/10386>C>11347>	[IFDReference 154 >as>null doi:https://doi.org/10.14469/hpc/11347]
10.14469/hpc/10386>C>11347>C>11522>	[IFDReference 155 >as>null doi:https://doi.org/10.14469/hpc/11522]
10.14469/hpc/10386>C>11347>C>11522>C>11524>	[IFDReference 156 >as>null doi:https://doi.org/10.14469/hpc/11524]	NMR Data for (Aqua)(ethanol) bis(4-(ethoxycarbonyl)-1-phenyl-1H-pyrazol-5-olate)calcium (20), 13C
10.14469/hpc/10386>C>11347>C>11522>C>11524>D>R	[IFDReference 157 >as>20.mol url:https://data.hpc.imperial.ac.uk/resolve/?doi=11524&file=10]
10.14469/hpc/10386>C>11347>C>11522>C>11524>D>R	[IFDReference 158 >as>20.png url:https://data.hpc.imperial.ac.uk/resolve/?doi=11524&file=9]
10.14469/hpc/10386>C>11347>C>11522>C>11524>D>R	[IFDReference 159 >as>20.cdxml url:https://data.hpc.imperial.ac.uk/resolve/?doi=11524&file=8]
10.14469/hpc/10386>C>11347>C>11522>C>11524>D>R	[IFDReference 160 >as>20-13C.pdf url:https://data.hpc.imperial.ac.uk/resolve/?doi=11524&file=4]
